Player_id,Player,Team,Matches,Innings,Balls,Maidens,Runs,Wickets,BBI,Average,Economy,Bowling S/R,Catches
40,Glenn Maxwell,Australia,7,5,72,0,103,3,Feb-44,34.33,8.58,24,7
41,Mitchell Starc,Australia,5,5,108,0,154,5,20-Feb,30.8,8.55,21.6,4
42,Marcus Stoinis,Australia,7,6,102,0,151,10,19-Mar,15.1,8.88,10.2,1
45,Adam Zampa,Australia,7,7,168,0,187,13,12-Apr,14.38,6.67,12.9,2
47,Taskin Ahmed,Bangladesh,6,6,128,1,137,8,19-Feb,17.12,6.42,16,0
51,Shakib Al Hasan,Bangladesh,7,6,104,0,130,3,09-Feb,43.33,7.5,34.6,3
53,Mahmudullah,Bangladesh,7,5,54,0,50,1,06-Jan,50,5.55,54,0
56,Mahedi Hasan,Bangladesh,2,2,48,0,50,0,-,0,6.25,-,0
57,Rishad Hossain,Bangladesh,7,7,150,0,194,14,22-Mar,13.85,7.76,10.7,3
58,Mustafizur Rahman,Bangladesh,7,7,156,1,142,8,07-Mar,17.75,5.46,19.5,1
60,Tanzim Hasan Sakib,Bangladesh,7,7,144,2,149,11,07-Apr,13.54,6.2,13,6
61,Saad Bin Zafar,Canada,3,3,72,0,87,1,22-Jan,87,7.25,72,0
63,Dillon Heyliger,Canada,3,3,66,0,55,5,18-Feb,11,5,13.2,0
66,Jeremy Gordon,Canada,3,3,63,0,77,3,16-Feb,25.66,7.33,21,1
67,Junaid Siddiqui,Canada,2,2,42,0,55,1,27-Jan,55,7.85,42,1
68,Kaleem Sana,Canada,3,3,66,0,93,1,Jan-34,93,8.45,66,0
72,Pargat Singh,Canada,3,1,6,0,15,0,-,0,15,-,0
77,Moeen Ali,England,8,4,54,0,73,3,15-Jan,24.33,8.11,18,2
78,Jofra Archer,England,8,8,158,1,190,10,12-Mar,19,7.21,15.8,0
81,Sam Curran,England,5,5,72,0,115,3,23-Feb,38.33,9.58,24,2
84,Will Jacks,England,3,1,6,0,22,0,-,0,22,-,1
85,Chris Jordan,England,5,5,83,0,134,10,10-Apr,13.4,9.68,8.3,2
86,Liam Livingstone,England,8,4,66,0,83,3,15-Jan,27.66,7.54,22,2
87,Adil Rashid,England,8,8,168,0,186,10,11-Apr,18.6,6.64,16.8,0
89,Reece Topley,England,6,6,108,0,121,2,25-Jan,60.5,6.72,54,0
90,Mark Wood,England,5,5,78,0,113,3,12-Mar,37.66,8.69,26,2
97,Curtis Campher,Ireland,3,3,42,0,39,2,24-Feb,19.5,5.57,21,1
98,Gareth Delany,Ireland,3,2,23,0,29,1,10-Jan,29,7.56,23,1
100,Mark Adair,Ireland,3,3,72,0,74,3,23-Jan,24.66,6.16,24,1
101,Josh Little,Ireland,3,3,66,0,96,0,-,0,8.72,-,2
102,Barry McCarthy,Ireland,3,3,62,1,57,5,15-Mar,11.4,5.51,12.4,0
103,Craig Young,Ireland,1,1,24,0,32,2,Feb-32,16,8,12,0
105,Ben White,Ireland,2,2,18,0,17,2,06-Jan,8.5,5.66,9,1
106,Gerhard Erasmus,Namibia,4,4,66,0,81,4,20-Feb,20.25,7.36,16.5,1
110,Ruben Trumpelmann,Namibia,4,4,72,0,107,7,21-Apr,15.28,8.91,10.2,2
