Player_id,Player,Team,Matches,Innings,Not Out,Runs,Highest Score,Average,Batting S/R,Sixes,Fours,Fifties,Ducks,Batting Position
305,Pavan Sukhdev Athavale,Oman,3,3,0,59,54,19.66,134.09,2,6,1,1,1
306,Khalid Kail,Oman,4,4,0,48,34,12,78.68,1,2,0,0,5
307,Mehran Khan,Oman,4,4,0,47,27,11.75,130.55,2,4,0,1,7
308,Shakeel Ahmed,Oman,3,3,1,25,11,12.5,119.04,0,3,0,0,9
309,Iftikhar Ahmed,Pakistan,2,2,0,23,18,11.5,100,0,3,0,0,8
310,Saim Ayub,Pakistan,2,2,0,23,17,11.5,79.31,1,2,0,0,2
311,Usman Khan Shinwari,Pakistan,4,4,1,20,13,6.66,90.9,0,1,0,0,5
312,Abbas Afridi,Pakistan,1,1,0,17,17,17,80.95,1,1,0,0,8
313,Naseem Shah,Pakistan,3,1,1,10,10*,0,250,0,2,0,0,9
314,Azam Khan,Pakistan,1,1,0,0,0,0,0,0,0,0,1,11
315,Anamul Haque Bijoy,Papua New Guinea,4,4,0,21,13,5.25,65.62,0,0,0,1,7
316,Jason Kariko,Papua New Guinea,3,2,2,4,4*,0,44.44,0,0,0,0,9
317,Sema Kamea,Papua New Guinea,2,2,1,3,2,3,75,0,0,0,0,11
318,Kila Vagi Morea,Papua New Guinea,2,2,1,2,2*,2,40,0,0,0,1,10
319,Ben McMullen,Scotland,4,3,1,140,61*,70,170.73,8,13,2,0,3
320,Hamza Tariq,Scotland,4,4,1,124,41*,41.33,139.32,9,8,0,0,5
321,Malan Jones,Scotland,4,4,1,89,45*,29.66,134.84,5,8,0,0,2
322,Terrell Stubbs,South Africa,9,8,3,165,33,33,101.22,3,13,0,1,4
323,Angelo Mathews,Sri Lanka,3,3,1,62,30*,31,124,4,2,0,0,7
324,Pulina Tharanga Mendis,Sri Lanka,3,3,0,32,17,10.66,80,0,0,0,0,2
325,Malinda Pushpakumara,Sri Lanka,3,2,1,0,0*,0,0,0,0,0,1,10
326,Nuwan Thushara,Sri Lanka,3,2,1,0,0*,0,0,0,0,0,1,11
327,Sadeera Samarawickrama,Sri Lanka,1,1,0,0,0,0,0,0,0,0,1,5
328,Fali Akeleam,Uganda,1,1,0,9,9,9,69.23,0,0,0,0,9
329,Nizakat Khan,United States of America,6,5,1,99,30,24.75,115.11,4,6,0,0,10
330,Munir Dar,United States of America,2,2,0,66,50,33,122.22,0,0,1,0,8
331,Shem Ngoche,United States of America,4,3,2,29,18,29,107.4,0,0,0,0,8
332,Kyle Mayers,West Indies,1,1,0,35,35,35,102.94,2,3,0,0,1
333,Raymon Reifer,West Indies,4,3,2,23,13,23,92,0,0,0,0,6
